carrier,month,on_time_pct,avg_transit_days,damage_rate_pct,cost_per_kg,total_shipments,total_weight_kg,avg_cost_per_shipment,complaints
V001_CARRIER,2022-01,83.2,11.1,2.31,1.124,930,264691.0,367.78,5
V001_CARRIER,2022-02,93.3,6.9,1.86,0.908,4939,492581.5,291.74,21
V001_CARRIER,2022-03,76.6,3.7,3.44,1.394,1071,336227.8,443.91,21
V001_CARRIER,2022-04,78.1,13.6,0.39,0.619,3066,114204.0,68.94,49
V001_CARRIER,2022-05,78.6,1.4,3.32,0.072,3624,494931.9,166.05,29
V001_CARRIER,2022-06,85.9,4.2,1.32,1.976,3027,259130.1,270.84,27
V001_CARRIER,2022-07,86.1,8.7,0.73,1.494,4119,317419.8,34.1,25
V001_CARRIER,2022-08,97.2,2.5,2.36,2.474,2174,392080.7,384.13,27
V001_CARRIER,2022-09,88.4,4.8,3.32,0.911,3792,61115.3,27.27,0
V001_CARRIER,2022-10,72.5,1.2,3.0,1.031,156,320194.7,433.02,27
V001_CARRIER,2022-11,95.4,11.7,0.18,0.922,185,142520.2,76.05,8
V001_CARRIER,2022-12,78.9,13.0,0.36,1.99,2938,298405.5,188.84,37
V001_CARRIER,2023-01,85.5,8.3,1.38,0.616,4370,494408.8,429.38,38
V001_CARRIER,2023-02,78.4,7.6,0.98,1.271,2197,491922.9,159.99,28
V001_CARRIER,2023-03,84.4,12.5,2.64,0.581,2407,311491.6,102.01,29
V001_CARRIER,2023-04,79.4,5.1,0.65,1.025,2688,53969.7,497.15,47
V001_CARRIER,2023-05,94.5,1.3,0.27,1.209,2105,56993.5,245.85,37
V001_CARRIER,2023-06,72.3,7.1,3.44,1.223,1749,408762.0,342.43,6
V001_CARRIER,2023-07,96.1,8.5,2.18,1.208,2432,333484.3,306.73,0
V001_CARRIER,2023-08,74.4,1.6,2.57,1.318,2074,293978.9,357.77,6
V001_CARRIER,2023-09,81.0,8.4,3.47,1.181,455,353878.4,55.85,12
V001_CARRIER,2023-10,76.7,1.5,1.07,1.184,4025,15753.3,347.18,0
V001_CARRIER,2023-11,86.5,3.5,3.31,0.239,3560,398261.4,232.21,1
V001_CARRIER,2023-12,83.3,8.4,2.44,1.216,2894,381345.9,311.81,25
V001_CARRIER,2024-01,71.9,10.6,1.42,0.392,1422,321002.6,123.03,48
V001_CARRIER,2024-02,84.9,10.7,0.39,1.354,601,138163.5,283.14,48
V001_CARRIER,2024-03,75.7,9.7,0.55,0.845,3615,470564.1,424.56,33
V001_CARRIER,2024-04,91.4,8.4,0.73,1.002,2747,121387.6,68.39,30
V001_CARRIER,2024-05,81.3,5.2,2.35,1.617,4156,31276.9,462.06,25
V001_CARRIER,2024-06,97.0,13.1,1.61,1.082,1176,66851.6,497.85,22
V001_CARRIER,2024-07,80.3,11.0,0.24,2.038,1619,86905.4,163.94,12
V001_CARRIER,2024-08,76.8,13.7,2.39,1.825,2485,294394.3,444.95,1
V001_CARRIER,2024-09,88.0,5.0,2.55,2.203,3134,158339.5,271.41,25
V001_CARRIER,2024-10,88.3,5.9,1.26,1.018,4399,110214.7,435.3,20
V001_CARRIER,2024-11,91.1,5.7,3.2,1.743,3171,112148.8,290.63,37
V001_CARRIER,2024-12,88.5,9.5,2.51,1.224,599,65649.8,424.18,3
V002_CARRIER,2022-01,72.6,2.5,1.95,0.633,2355,131711.4,63.41,32
V002_CARRIER,2022-02,97.5,4.8,2.88,0.375,4979,181634.9,126.88,36
V002_CARRIER,2022-03,70.8,6.8,3.19,2.497,1944,397808.5,146.6,35
V002_CARRIER,2022-04,72.2,3.7,2.23,1.277,1801,481564.8,72.4,15
V002_CARRIER,2022-05,73.1,10.1,2.3,2.094,1236,116299.2,235.05,1
V002_CARRIER,2022-06,85.9,11.4,3.14,0.596,4823,475659.6,410.49,17
V002_CARRIER,2022-07,77.3,8.2,0.84,2.367,750,437763.6,103.51,0
V002_CARRIER,2022-08,82.7,7.8,0.72,1.483,4879,248346.8,431.02,50
V002_CARRIER,2022-09,95.0,4.2,1.28,0.669,2650,37715.9,12.13,24
V002_CARRIER,2022-10,76.4,6.0,1.43,1.776,2700,370122.4,48.1,42
V002_CARRIER,2022-11,77.6,7.1,1.35,0.283,2178,102731.0,153.36,9
V002_CARRIER,2022-12,71.1,8.3,0.31,0.672,1091,432679.0,19.96,6
V002_CARRIER,2023-01,73.8,6.2,0.19,0.359,3020,488296.3,398.36,18
V002_CARRIER,2023-02,85.8,9.8,2.52,1.751,897,80967.1,110.59,36
V002_CARRIER,2023-03,75.6,5.2,2.16,1.427,1064,10668.2,233.9,24
V002_CARRIER,2023-04,95.3,13.0,2.45,0.362,3569,174410.0,304.96,21
V002_CARRIER,2023-05,82.0,4.5,2.57,1.708,911,494540.7,304.27,48
V002_CARRIER,2023-06,75.6,12.4,2.06,1.519,4964,297348.1,240.27,16
V002_CARRIER,2023-07,90.1,1.2,0.65,1.718,2429,478184.0,406.31,3
V002_CARRIER,2023-08,82.0,2.7,0.56,0.922,4226,170973.0,395.49,24
V002_CARRIER,2023-09,83.9,6.9,1.33,0.144,1251,415756.5,160.47,49
V002_CARRIER,2023-10,81.5,11.0,0.89,0.801,4373,244676.0,379.24,35
V002_CARRIER,2023-11,86.8,9.8,2.1,0.499,2419,114040.3,305.09,42
V002_CARRIER,2023-12,93.2,2.3,0.85,2.208,1022,347524.8,257.33,21
V002_CARRIER,2024-01,78.2,9.2,2.35,1.076,3646,43849.8,61.65,13
V002_CARRIER,2024-02,98.8,11.5,1.05,0.726,2006,470784.9,271.72,35
V002_CARRIER,2024-03,84.4,4.5,1.44,1.651,209,259960.2,139.45,43
V002_CARRIER,2024-04,79.3,3.0,2.71,1.627,1438,231618.3,369.45,12
V002_CARRIER,2024-05,73.4,1.5,1.7,1.879,727,427780.9,335.21,29
V002_CARRIER,2024-06,81.5,5.3,3.33,1.321,1347,268337.5,185.31,35
V002_CARRIER,2024-07,95.0,6.0,2.74,2.251,724,77179.5,451.12,24
V002_CARRIER,2024-08,81.8,8.7,2.28,2.294,3585,175054.9,491.3,40
V002_CARRIER,2024-09,86.1,3.5,1.12,2.043,1406,368694.6,171.96,22
V002_CARRIER,2024-10,81.3,6.7,2.99,0.212,4175,255582.5,43.24,49
V002_CARRIER,2024-11,78.3,9.7,2.8,1.778,4562,159004.5,153.91,47
V002_CARRIER,2024-12,94.2,3.6,1.19,0.619,3509,408986.1,237.07,2
V003_CARRIER,2022-01,82.3,7.2,1.39,1.475,272,330239.1,24.58,26
V003_CARRIER,2022-02,97.4,4.9,0.7,1.262,2423,84146.0,377.88,35
V003_CARRIER,2022-03,84.2,8.5,0.16,2.186,1459,472220.0,336.5,23
V003_CARRIER,2022-04,91.7,3.7,0.28,2.301,1205,406816.4,169.42,2
V003_CARRIER,2022-05,87.3,9.6,3.2,1.733,1047,477899.2,471.37,19
V003_CARRIER,2022-06,95.7,7.6,3.48,0.649,922,224091.3,41.93,24
V003_CARRIER,2022-07,93.2,4.4,3.45,0.434,4618,122900.0,94.06,37
V003_CARRIER,2022-08,75.9,7.0,3.05,1.784,3576,96636.2,472.95,29
V003_CARRIER,2022-09,86.9,6.3,1.05,0.336,3781,379897.9,109.37,49
V003_CARRIER,2022-10,78.0,3.3,1.5,2.253,3041,43124.4,183.11,10
V003_CARRIER,2022-11,77.4,9.3,0.21,0.902,3204,259580.0,132.8,9
V003_CARRIER,2022-12,91.1,5.4,1.91,0.884,1928,243569.4,434.53,20
V003_CARRIER,2023-01,80.0,8.8,1.06,2.298,4628,357873.1,20.82,6
V003_CARRIER,2023-02,89.8,13.1,0.47,0.092,4449,23152.1,42.7,17
V003_CARRIER,2023-03,85.3,13.9,1.85,1.658,3356,307902.0,490.45,33
V003_CARRIER,2023-04,95.6,7.5,0.62,1.024,3371,407114.8,335.53,25
V003_CARRIER,2023-05,74.9,11.8,2.85,1.627,3733,164282.5,332.85,9
V003_CARRIER,2023-06,76.7,2.7,2.35,1.628,3496,404851.8,204.62,48
V003_CARRIER,2023-07,92.3,8.0,0.4,2.043,1701,380686.1,193.44,26
V003_CARRIER,2023-08,74.9,7.3,1.5,0.366,1296,85018.7,459.85,4
V003_CARRIER,2023-09,93.8,13.0,1.04,0.476,2490,415443.4,380.63,14
V003_CARRIER,2023-10,94.7,10.4,2.19,0.242,4992,301177.9,151.32,2
V003_CARRIER,2023-11,82.9,3.0,0.84,0.638,2960,456526.9,251.94,23
V003_CARRIER,2023-12,87.0,5.9,2.49,2.448,382,173048.6,117.32,33
V003_CARRIER,2024-01,88.0,12.7,0.16,0.991,4617,355243.4,17.91,39
V003_CARRIER,2024-02,78.3,2.3,0.46,0.376,1833,494879.9,339.69,4
V003_CARRIER,2024-03,81.7,11.9,0.4,1.149,545,178236.0,461.38,31
V003_CARRIER,2024-04,75.0,6.2,3.46,1.696,3990,487507.1,58.07,48
V003_CARRIER,2024-05,73.7,6.2,3.08,2.288,1214,205137.8,116.42,22
V003_CARRIER,2024-06,90.8,5.0,0.88,2.418,1857,378594.3,165.8,34
V003_CARRIER,2024-07,98.9,12.0,0.8,0.213,2517,194165.9,444.47,17
V003_CARRIER,2024-08,73.5,11.5,0.81,1.05,4486,137998.4,294.2,0
V003_CARRIER,2024-09,95.9,8.4,3.18,0.563,458,128182.1,141.54,17
V003_CARRIER,2024-10,78.2,5.3,1.53,0.324,3502,289669.5,71.75,34
V003_CARRIER,2024-11,85.3,13.1,2.42,1.002,3121,364949.3,96.86,24
V003_CARRIER,2024-12,87.5,5.3,0.47,1.299,3619,16628.6,443.7,17
V004_CARRIER,2022-01,92.8,3.2,0.23,0.641,2560,286248.4,430.19,45
V004_CARRIER,2022-02,78.4,9.4,2.75,0.521,3711,232114.2,243.58,6
V004_CARRIER,2022-03,82.9,12.2,3.22,0.07,257,436300.9,482.65,23
V004_CARRIER,2022-04,97.0,5.8,0.94,0.368,1702,494366.8,233.67,5
V004_CARRIER,2022-05,73.4,8.5,2.38,2.068,4004,189462.5,231.0,37
V004_CARRIER,2022-06,89.0,6.0,2.9,1.541,4230,205185.2,18.81,23
V004_CARRIER,2022-07,93.5,8.9,3.37,0.127,4451,159587.7,344.17,38
V004_CARRIER,2022-08,95.0,10.4,1.38,2.197,842,461554.1,165.93,30
V004_CARRIER,2022-09,93.0,1.8,0.26,1.027,2736,91115.6,474.04,12
V004_CARRIER,2022-10,78.3,5.9,0.66,2.395,133,478669.2,166.49,46
V004_CARRIER,2022-11,77.5,11.8,1.14,1.823,571,367582.7,276.11,40
V004_CARRIER,2022-12,83.9,10.6,1.35,2.469,3716,61295.2,228.22,39
V004_CARRIER,2023-01,70.1,9.7,0.87,0.672,2862,82399.5,173.25,15
V004_CARRIER,2023-02,90.5,11.6,0.56,1.827,569,379424.4,36.05,21
V004_CARRIER,2023-03,90.9,1.0,2.37,2.171,1208,150396.7,141.75,35
V004_CARRIER,2023-04,80.6,2.8,1.54,1.692,4885,20344.1,416.03,28
V004_CARRIER,2023-05,70.4,2.6,0.89,2.076,4621,337754.6,277.49,49
V004_CARRIER,2023-06,77.8,9.2,1.02,0.473,1787,161608.4,420.94,14
V004_CARRIER,2023-07,96.2,7.6,0.41,2.426,3249,131457.6,242.46,47
V004_CARRIER,2023-08,72.1,3.9,2.68,0.799,698,83703.3,45.67,37
V004_CARRIER,2023-09,86.2,11.3,3.04,1.003,2377,470269.4,422.48,45
V004_CARRIER,2023-10,73.8,8.1,0.98,1.751,4505,368188.1,256.19,21
V004_CARRIER,2023-11,91.1,3.6,2.22,0.355,888,448417.5,375.63,7
V004_CARRIER,2023-12,73.0,12.7,1.0,2.482,4244,190197.5,178.64,12
V004_CARRIER,2024-01,77.4,8.9,2.27,1.205,3324,18422.6,292.21,14
V004_CARRIER,2024-02,82.9,7.9,0.64,0.411,2250,341860.9,487.72,48
V004_CARRIER,2024-03,95.9,6.0,1.21,1.798,4079,65547.6,206.77,33
V004_CARRIER,2024-04,88.1,13.1,1.09,0.105,654,161036.7,301.51,17
V004_CARRIER,2024-05,96.7,7.6,0.67,0.23,2748,321169.1,224.63,39
V004_CARRIER,2024-06,73.9,10.4,0.23,1.596,1826,196924.9,302.04,2
V004_CARRIER,2024-07,87.0,5.9,3.26,2.37,1905,188798.1,261.3,47
V004_CARRIER,2024-08,90.2,3.7,1.18,0.505,1277,474075.9,372.26,18
V004_CARRIER,2024-09,71.7,4.6,0.13,1.639,183,340827.4,85.44,49
V004_CARRIER,2024-10,94.3,12.5,2.8,1.765,1082,340818.9,483.82,22
V004_CARRIER,2024-11,71.4,3.5,1.3,2.024,2207,416367.1,170.66,14
V004_CARRIER,2024-12,73.9,6.0,2.16,0.346,2458,126018.8,362.4,2
V005_CARRIER,2022-01,74.8,12.9,3.07,1.62,4283,81657.9,422.42,15
V005_CARRIER,2022-02,91.5,14.0,2.1,1.772,2008,34171.1,459.23,3
V005_CARRIER,2022-03,94.1,4.4,0.72,0.496,3620,48613.1,31.32,31
V005_CARRIER,2022-04,77.2,5.9,2.08,2.465,4759,173769.3,462.67,42
V005_CARRIER,2022-05,84.6,1.8,0.94,1.669,1094,464507.7,299.87,31
V005_CARRIER,2022-06,97.2,11.9,0.24,2.313,4228,35722.5,91.13,34
V005_CARRIER,2022-07,73.7,1.9,3.31,0.326,2714,428058.3,68.46,27
V005_CARRIER,2022-08,71.9,2.5,2.03,1.645,3795,499901.1,450.9,21
V005_CARRIER,2022-09,84.7,11.0,2.4,1.747,880,256344.5,274.01,32
V005_CARRIER,2022-10,85.5,8.7,0.28,0.08,2717,178406.2,37.31,18
V005_CARRIER,2022-11,73.1,4.0,1.57,2.432,1389,75672.0,121.77,12
V005_CARRIER,2022-12,78.5,6.4,1.95,1.276,1980,190150.7,330.51,34
V005_CARRIER,2023-01,95.8,5.0,2.92,0.093,1927,123483.5,366.93,38
V005_CARRIER,2023-02,75.7,4.7,3.15,0.118,3205,147238.3,347.17,8
V005_CARRIER,2023-03,71.2,3.9,1.4,1.323,2811,364703.0,227.26,0
V005_CARRIER,2023-04,84.5,4.9,0.15,0.093,1012,240024.8,337.56,45
V005_CARRIER,2023-05,86.6,10.4,2.22,1.314,2856,229727.9,429.48,22
V005_CARRIER,2023-06,98.4,8.5,2.52,1.313,2925,474842.7,420.86,20
V005_CARRIER,2023-07,73.2,1.5,1.35,1.038,4279,304677.4,40.8,2
V005_CARRIER,2023-08,76.2,10.8,2.87,2.342,3476,33351.6,225.98,34
V005_CARRIER,2023-09,87.6,2.5,1.4,0.24,1955,463313.2,467.89,30
V005_CARRIER,2023-10,90.9,11.4,1.09,1.647,2778,43984.8,278.13,48
V005_CARRIER,2023-11,96.4,7.2,3.08,0.282,366,81431.2,429.21,10
V005_CARRIER,2023-12,96.2,11.0,3.15,1.087,632,453532.9,170.09,40
V005_CARRIER,2024-01,87.9,10.6,2.15,1.679,4236,347229.8,306.57,47
V005_CARRIER,2024-02,90.2,10.5,3.44,2.255,4883,441058.2,425.12,13
V005_CARRIER,2024-03,75.8,11.8,0.36,2.313,2337,28018.1,150.4,7
V005_CARRIER,2024-04,99.0,6.8,1.4,2.196,409,390272.7,117.06,39
V005_CARRIER,2024-05,77.3,5.0,0.7,1.753,565,7156.8,13.85,14
V005_CARRIER,2024-06,70.9,7.7,2.5,0.925,272,86326.9,134.76,9
V005_CARRIER,2024-07,96.1,2.5,0.68,1.442,1879,83093.5,47.06,41
V005_CARRIER,2024-08,79.5,6.1,3.35,0.773,4833,163946.1,19.84,1
V005_CARRIER,2024-09,79.1,9.8,1.6,2.334,3957,388410.8,166.5,31
V005_CARRIER,2024-10,91.7,10.0,1.67,1.615,4330,159701.2,151.18,11
V005_CARRIER,2024-11,98.9,10.1,0.74,0.376,4776,49218.6,353.67,38
V005_CARRIER,2024-12,84.2,12.3,1.55,1.454,3546,34688.1,301.07,2
V006_CARRIER,2022-01,82.6,6.0,3.21,1.228,1521,225024.2,113.08,9
V006_CARRIER,2022-02,83.5,5.4,0.84,1.08,2921,114287.0,357.92,25
V006_CARRIER,2022-03,88.4,9.9,2.01,0.093,3636,114214.7,233.99,39
V006_CARRIER,2022-04,82.6,5.9,3.1,1.564,2678,251201.3,414.06,4
V006_CARRIER,2022-05,89.5,5.1,1.4,1.406,896,173012.1,155.63,24
V006_CARRIER,2022-06,90.9,5.3,1.22,1.795,4647,408271.1,179.15,20
V006_CARRIER,2022-07,86.7,3.5,0.84,0.556,691,173532.8,417.93,5
V006_CARRIER,2022-08,98.5,13.8,2.11,1.367,3872,476520.3,66.26,38
V006_CARRIER,2022-09,90.1,12.4,2.9,1.311,2009,381111.5,319.47,31
V006_CARRIER,2022-10,85.6,4.3,0.93,1.426,3010,359357.9,38.17,36
V006_CARRIER,2022-11,92.5,8.0,1.43,0.969,1221,177020.2,285.43,19
V006_CARRIER,2022-12,93.0,10.0,0.67,2.147,2167,400684.9,204.65,15
V006_CARRIER,2023-01,92.3,3.6,1.73,2.08,3419,186971.7,79.2,48
V006_CARRIER,2023-02,87.7,6.9,1.78,1.778,2781,354187.0,58.83,6
V006_CARRIER,2023-03,88.8,4.3,2.83,2.23,3345,117029.2,121.77,7
V006_CARRIER,2023-04,83.8,6.3,2.47,0.912,1210,66051.2,193.93,30
V006_CARRIER,2023-05,89.0,10.0,1.37,2.302,4710,301331.5,150.85,23
V006_CARRIER,2023-06,91.5,2.7,3.29,2.397,2643,144067.3,220.66,17
V006_CARRIER,2023-07,77.3,9.4,2.65,1.645,3069,347191.3,259.09,28
V006_CARRIER,2023-08,96.7,5.3,3.31,0.938,1528,274495.9,329.07,38
V006_CARRIER,2023-09,94.5,2.6,3.25,1.53,3410,441349.3,369.72,49
V006_CARRIER,2023-10,90.3,8.2,0.82,1.583,723,152264.5,229.71,30
V006_CARRIER,2023-11,75.6,4.8,1.05,1.382,3498,88587.7,448.47,7
V006_CARRIER,2023-12,98.9,8.4,3.11,2.062,2872,266672.1,169.2,29
V006_CARRIER,2024-01,86.7,10.0,2.36,1.73,653,487616.5,306.58,26
V006_CARRIER,2024-02,92.7,9.7,0.82,2.406,3689,396268.2,88.88,16
V006_CARRIER,2024-03,75.8,4.7,0.96,0.908,2333,100098.3,454.49,45
V006_CARRIER,2024-04,70.6,9.7,3.21,0.938,582,300690.8,397.67,36
V006_CARRIER,2024-05,82.9,3.2,1.01,0.603,3526,115959.7,418.38,35
V006_CARRIER,2024-06,88.8,13.3,0.92,1.071,3738,191311.6,20.62,38
V006_CARRIER,2024-07,77.5,5.2,2.48,0.834,4091,95036.2,154.23,3
V006_CARRIER,2024-08,86.3,6.3,1.26,0.089,4180,160293.7,428.54,8
V006_CARRIER,2024-09,84.3,10.2,2.35,1.636,2612,309943.8,329.83,6
V006_CARRIER,2024-10,82.9,4.0,1.92,1.74,4764,440235.6,386.08,22
V006_CARRIER,2024-11,87.6,3.9,3.14,0.325,126,395342.0,305.24,4
V006_CARRIER,2024-12,97.1,11.5,3.22,1.628,1272,6810.6,137.32,26
V007_CARRIER,2022-01,78.1,13.0,0.69,0.153,1084,211273.1,145.79,49
V007_CARRIER,2022-02,71.0,2.0,3.17,1.274,1998,416393.5,437.71,16
V007_CARRIER,2022-03,94.3,8.1,3.23,0.814,4783,63881.9,356.25,34
V007_CARRIER,2022-04,73.9,12.2,1.51,1.306,759,209237.5,311.17,36
V007_CARRIER,2022-05,82.7,3.5,1.09,1.919,2415,153150.1,94.9,46
V007_CARRIER,2022-06,89.9,5.2,1.74,0.838,3428,341504.8,440.34,7
V007_CARRIER,2022-07,82.7,5.6,1.19,1.069,3342,388481.5,107.5,14
V007_CARRIER,2022-08,80.7,6.3,1.91,2.281,2629,5966.5,158.79,20
V007_CARRIER,2022-09,92.2,2.7,3.48,1.346,2346,320540.3,289.1,11
V007_CARRIER,2022-10,89.1,10.4,2.16,1.622,1229,265406.9,495.84,32
V007_CARRIER,2022-11,81.2,11.2,1.48,0.837,2744,39034.4,235.94,3
V007_CARRIER,2022-12,74.4,3.5,1.35,1.771,113,77747.2,389.88,1
V007_CARRIER,2023-01,89.8,11.9,2.23,0.332,4444,416773.6,498.42,13
V007_CARRIER,2023-02,81.5,8.6,2.61,1.623,4072,489767.9,416.99,29
