Carrier,Orig_Port,Dest_Port,Min_Weight,Max_Weight,Service_Code,Minimum_Cost,Rate,Mode,Transit_Days,Carrier_Type
V001_CARRIER,PORT08,PORT09,0,99.99,DTP,104.5,0.48,GROUND,1,TYPE_2
V001_CARRIER,PORT08,PORT09,100,249.99,DTP,104.5,2.19,GROUND,1,TYPE_2
V001_CARRIER,PORT08,PORT09,250,499.99,DTP,104.5,2.36,GROUND,1,TYPE_2
V001_CARRIER,PORT08,PORT09,500,1999.99,DTP,104.5,2.21,GROUND,1,TYPE_2
V001_CARRIER,PORT08,PORT09,2000,99999.99,DTP,104.5,0.58,GROUND,1,TYPE_2
V001_CARRIER,PORT08,PORT09,0,99.99,CRF,230.89,1.63,GROUND,0,TYPE_2
V001_CARRIER,PORT08,PORT09,100,249.99,CRF,230.89,1.58,GROUND,0,TYPE_2
V001_CARRIER,PORT08,PORT09,250,499.99,CRF,230.89,2.27,GROUND,0,TYPE_2
V001_CARRIER,PORT08,PORT09,500,1999.99,CRF,230.89,2.44,GROUND,0,TYPE_2
V001_CARRIER,PORT08,PORT09,2000,99999.99,CRF,230.89,0.52,GROUND,0,TYPE_2
V001_CARRIER,PORT08,PORT09,0,99.99,DTD,13.87,1.56,GROUND,2,TYPE_2
V001_CARRIER,PORT08,PORT09,100,249.99,DTD,13.87,1.51,GROUND,2,TYPE_2
V001_CARRIER,PORT08,PORT09,250,499.99,DTD,13.87,0.4,GROUND,2,TYPE_2
V001_CARRIER,PORT08,PORT09,500,1999.99,DTD,13.87,2.4,GROUND,2,TYPE_2
V001_CARRIER,PORT08,PORT09,2000,99999.99,DTD,13.87,0.45,GROUND,2,TYPE_2
V001_CARRIER,PORT03,PORT09,0,99.99,DTD,207.07,1.25,GROUND,14,TYPE_2
V001_CARRIER,PORT03,PORT09,100,249.99,DTD,207.07,0.58,GROUND,14,TYPE_2
V001_CARRIER,PORT03,PORT09,250,499.99,DTD,207.07,0.53,GROUND,14,TYPE_2
V001_CARRIER,PORT03,PORT09,500,1999.99,DTD,207.07,2.37,GROUND,14,TYPE_2
