Order_ID,Order_Date,Origin_Port,Carrier,TPT,Service_Level,Ship_Ahead_Days,Ship_Late_Days,Customer,Product_ID,Plant_Code,Destination_Port,Unit_Quantity,Weight_KG
ORD1400000.4,2024-01-03,PORT01,V008_CARRIER,0,DTD,0,1,CUST_0050,PROD_1700061,PLANT05,PORT09,13064,1865.1
ORD1400001.3,2023-06-21,PORT02,V003_CARRIER,2,CRF,4,0,CUST_0051,PROD_1701472,PLANT01,PORT09,1475,613.44
ORD1400002.7,2024-02-16,PORT07,V008_CARRIER,12,DTD,5,5,CUST_0062,PROD_1701341,PLANT16,PORT09,11330,5332.35
ORD1400003.4,2022-05-14,PORT06,V009_CARRIER,5,DTD,6,5,CUST_0097,PROD_1700242,PLANT13,PORT09,16126,7427.41
ORD1400004.8,2023-08-26,PORT02,V011_CARRIER,13,DTP,7,1,CUST_0072,PROD_1701617,PLANT01,PORT09,47764,1988.05
ORD1400005.8,2022-05-13,PORT01,V008_CARRIER,2,EXW,5,5,CUST_0133,PROD_1700342,PLANT07,PORT09,24602,6475.55
ORD1400006.5,2024-10-10,PORT01,V011_CARRIER,3,DTP,3,3,CUST_0010,PROD_1700970,PLANT10,PORT09,15460,3069.65
ORD1400007.4,2024-05-20,PORT04,V009_CARRIER,12,DTP,1,2,CUST_0022,PROD_1701820,PLANT18,PORT09,29231,7596.89
ORD1400008.3,2022-03-26,PORT07,V008_CARRIER,5,EXW,7,2,CUST_0111,PROD_1700952,PLANT10,PORT09,17992,3450.92
ORD1400009.2,2024-06-23,PORT07,V015_CARRIER,13,DTD,1,2,CUST_0022,PROD_1700478,PLANT16,PORT09,15025,752.84
ORD1400010.3,2024-01-08,PORT07,V011_CARRIER,4,DTD,4,1,CUST_0085,PROD_1700078,PLANT11,PORT09,46344,14015.03
ORD1400011.4,2023-06-19,PORT05,V007_CARRIER,7,CRF,2,3,CUST_0149,PROD_1700017,PLANT04,PORT09,15014,1715.14
ORD1400012.7,2024-08-29,PORT07,V012_CARRIER,12,DTD,1,2,CUST_0119,PROD_1700478,PLANT16,PORT09,12410,2667.75
ORD1400013.6,2023-03-06,PORT02,V010_CARRIER,11,DTD,0,3,CUST_0033,PROD_1700898,PLANT14,PORT09,43278,18060.56
