route_id,plant_code,date,picker_id,aisles_visited,num_stops,total_distance_m,total_time_min,items_picked,order_count,start_aisle,algorithm_used,optimized
ROUTE_000000,PLANT01,2023-09-11,PICKER_016,"[6, 17, 22, 25, 26]",5,84.29,2.97,35,10,1,DIJKSTRA,0
ROUTE_000001,PLANT04,2023-05-15,PICKER_044,"[2, 6, 9, 10, 12, 15, 16, 18, 20]",9,139.56,5.14,26,3,1,MANUAL,0
ROUTE_000002,PLANT06,2023-05-17,PICKER_039,"[1, 5, 6, 22, 27]",5,89.26,3.66,50,1,1,ASTAR,1
ROUTE_000003,PLANT04,2024-03-15,PICKER_048,"[1, 3, 4, 6, 14]",5,95.45,4.13,15,4,1,GREEDY,1
ROUTE_000004,PLANT13,2023-02-21,PICKER_040,"[1, 5]",2,28.73,1.94,38,1,1,DIJKSTRA,1
ROUTE_000005,PLANT01,2024-09-30,PICKER_038,"[4, 7, 9, 10, 11, 12, 15, 18, 26]",9,176.8,4.61,78,5,1,GREEDY,0
ROUTE_000006,PLANT18,2024-08-18,PICKER_019,"[3, 9, 10, 11, 12, 13, 15]",7,106.2,3.84,32,5,1,MANUAL,0
ROUTE_000007,PLANT16,2023-08-18,PICKER_030,"[3, 9]",2,30.39,3.14,32,7,1,DIJKSTRA,1
ROUTE_000008,PLANT07,2023-08-31,PICKER_002,"[3, 4, 5]",3,84.94,4.6,36,4,1,ASTAR,0
ROUTE_000009,PLANT02,2023-03-21,PICKER_029,"[1, 3, 4, 5]",4,91.66,2.92,14,6,1,MANUAL,1
ROUTE_000010,PLANT03,2023-05-30,PICKER_027,"[1, 2, 4, 5, 6, 7, 9, 10, 11]",9,183.72,5.37,40,7,1,MANUAL,0
ROUTE_000011,PLANT07,2024-04-26,PICKER_025,"[1, 2, 6, 10]",4,79.21,3.63,50,6,1,MANUAL,0
ROUTE_000012,PLANT09,2024-01-31,PICKER_039,"[3, 6, 8, 9]",4,33.15,2.4,13,6,1,ASTAR,1
ROUTE_000013,PLANT10,2024-09-28,PICKER_009,"[1, 4, 11, 16, 18, 22]",6,104.19,2.68,74,8,1,ASTAR,1
ROUTE_000014,PLANT19,2024-09-19,PICKER_003,"[5, 6, 8, 12, 17, 18, 20, 22]",8,140.21,4.32,17,1,1,DIJKSTRA,0
ROUTE_000015,PLANT17,2024-09-26,PICKER_030,"[6, 10, 14]",3,33.49,3.59,73,6,1,DIJKSTRA,1
ROUTE_000016,PLANT01,2024-11-28,PICKER_016,"[6, 7, 9, 13, 14, 17, 20, 22, 24, 26]",10,143.23,5.33,7,1,1,GREEDY,0
ROUTE_000017,PLANT06,2024-11-25,PICKER_027,"[4, 5, 6, 9, 10, 12, 17, 19, 27, 28]",10,192.5,6.16,76,9,1,ASTAR,0
ROUTE_000018,PLANT04,2023-11-16,PICKER_048,"[3, 7, 8, 9, 19]",5,96.81,4.19,27,6,1,MANUAL,0
ROUTE_000019,PLANT14,2023-07-15,PICKER_050,"[5, 7, 8, 9, 13, 17, 18, 21, 24, 29]",10,195.17,6.56,30,10,1,MANUAL,1
ROUTE_000020,PLANT06,2023-08-02,PICKER_037,"[8, 16]",2,38.49,1.63,21,5,1,ASTAR,0
ROUTE_000021,PLANT08,2023-04-18,PICKER_021,"[1, 7, 11, 16, 21, 25]",6,58.4,1.9,26,5,1,ASTAR,0
ROUTE_000022,PLANT17,2023-07-27,PICKER_047,"[6, 11, 12, 16]",4,70.73,3.77,41,3,1,GREEDY,0
