Plant_Code,Port
PLANT01,PORT02
PLANT01,PORT01
PLANT01,PORT06
PLANT02,PORT04
PLANT02,PORT02
PLANT03,PORT02
PLANT04,PORT02
PLANT04,PORT05
PLANT04,PORT04
PLANT05,PORT01
PLANT06,PORT04
PLANT07,PORT01
PLANT08,PORT04
PLANT08,PORT06
PLANT08,PORT07
PLANT09,PORT07
PLANT09,PORT02
PLANT09,PORT04
PLANT10,PORT05
PLANT10,PORT07
PLANT10,PORT01
PLANT11,PORT07
PLANT12,PORT05
PLANT12,PORT02
PLANT13,PORT06
PLANT14,PORT02
PLANT15,PORT02
PLANT15,PORT03
PLANT16,PORT05
PLANT16,PORT07
PLANT17,PORT08
PLANT18,PORT02
PLANT18,PORT04
PLANT18,PORT01
PLANT19,PORT05
PLANT19,PORT07
PLANT19,PORT06
PLANT20,PORT06
PLANT20,PORT05
PLANT20,PORT02
