txn_id,product_id,plant_code,date,txn_type,quantity,direction,unit_cost,total_cost,carrier,reference_order
TXN_00000000,PROD_1700900,PLANT06,2023-08-27,RETURN,1217,IN,44.15,431760.74,,
TXN_00000001,PROD_1700742,PLANT03,2023-05-12,ADJUSTMENT,3811,OUT,300.66,605690.0,,
TXN_00000002,PROD_1701815,PLANT11,2024-04-21,RECEIPT,2569,IN,346.03,1126807.93,,
TXN_00000003,PROD_1701423,PLANT14,2024-12-18,RECEIPT,4910,IN,92.31,1898310.5,,
TXN_00000004,PROD_1701949,PLANT07,2024-12-12,RETURN,4925,IN,266.89,2288796.87,,
TXN_00000005,PROD_1701304,PLANT19,2024-01-20,TRANSFER,4829,OUT,3.05,1103649.09,,
TXN_00000006,PROD_1701949,PLANT07,2023-04-02,RETURN,3884,IN,90.42,1377340.58,,
TXN_00000007,PROD_1701237,PLANT17,2024-08-10,SHIPMENT,4500,OUT,418.67,1831367.74,V013_CARRIER,ORD1411787
TXN_00000008,PROD_1700355,PLANT17,2024-02-09,SHIPMENT,580,OUT,48.3,268304.66,V010_CARRIER,ORD1441298
TXN_00000009,PROD_1700137,PLANT12,2024-09-29,ADJUSTMENT,4656,OUT,89.85,1096651.56,,
TXN_00000010,PROD_1700562,PLANT07,2024-09-19,SHIPMENT,2667,OUT,47.38,569916.77,V011_CARRIER,ORD1433414
TXN_00000011,PROD_1701304,PLANT06,2024-12-03,ADJUSTMENT,343,OUT,365.9,114150.56,,
TXN_00000012,PROD_1700562,PLANT07,2024-01-10,ADJUSTMENT,4066,OUT,171.28,406119.43,,
TXN_00000013,PROD_1700456,PLANT17,2024-04-29,SHIPMENT,4007,OUT,143.2,1085849.04,V014_CARRIER,ORD1404439
TXN_00000014,PROD_1700791,PLANT04,2023-11-20,RETURN,4545,IN,433.31,687631.62,,
TXN_00000015,PROD_1700791,PLANT04,2024-11-27,RETURN,46,IN,124.59,19182.61,,
TXN_00000016,PROD_1700355,PLANT17,2024-08-30,ADJUSTMENT,38,OUT,132.24,3284.7,,
TXN_00000017,PROD_1700390,PLANT11,2024-04-29,RETURN,4289,IN,121.27,1811517.15,,
TXN_00000018,PROD_1700217,PLANT08,2024-12-14,RECEIPT,1692,IN,193.55,107029.67,,
TXN_00000019,PROD_1700187,PLANT05,2024-07-11,RETURN,1835,IN,309.96,39353.05,,
TXN_00000020,PROD_1701002,PLANT08,2024-12-30,RECEIPT,1275,IN,315.63,297268.66,,
TXN_00000021,PROD_1701112,PLANT06,2023-11-24,RETURN,1307,IN,140.75,205986.93,,
TXN_00000022,PROD_1700763,PLANT12,2023-10-03,ADJUSTMENT,3327,OUT,429.3,1195481.98,,
TXN_00000023,PROD_1701257,PLANT17,2023-02-28,SHIPMENT,1838,OUT,485.4,435120.24,V014_CARRIER,ORD1437521
TXN_00000024,PROD_1700401,PLANT01,2023-10-13,RETURN,1804,IN,390.72,345221.0,,
