Plant_Code,Product_ID
PLANT16,PROD_1700000
PLANT18,PROD_1700000
PLANT09,PROD_1700001
PLANT17,PROD_1700001
PLANT07,PROD_1700002
PLANT18,PROD_1700002
PLANT20,PROD_1700002
PLANT10,PROD_1700002
PLANT12,PROD_1700003
PLANT15,PROD_1700003
PLANT17,PROD_1700003
PLANT19,PROD_1700003
PLANT08,PROD_1700004
PLANT03,PROD_1700005
PLANT11,PROD_1700005
PLANT19,PROD_1700006
PLANT19,PROD_1700007
PLANT08,PROD_1700007
PLANT03,PROD_1700008
PLANT08,PROD_1700009
PLANT02,PROD_1700010
PLANT03,PROD_1700011
PLANT17,PROD_1700011
PLANT08,PROD_1700011
PLANT16,PROD_1700012
PLANT07,PROD_1700012
PLANT18,PROD_1700012
PLANT19,PROD_1700013
PLANT20,PROD_1700013
PLANT08,PROD_1700014
PLANT16,PROD_1700014
PLANT14,PROD_1700014
PLANT07,PROD_1700014
PLANT04,PROD_1700015
PLANT12,PROD_1700016
PLANT14,PROD_1700016
PLANT19,PROD_1700016
PLANT15,PROD_1700016
PLANT04,PROD_1700017
PLANT13,PROD_1700018
PLANT04,PROD_1700019
PLANT08,PROD_1700019
PLANT07,PROD_1700019
PLANT18,PROD_1700020
PLANT15,PROD_1700020
PLANT14,PROD_1700021
PLANT06,PROD_1700021
PLANT15,PROD_1700022
PLANT08,PROD_1700022
PLANT03,PROD_1700022
PLANT18,PROD_1700023
PLANT04,PROD_1700023
PLANT02,PROD_1700023
PLANT01,PROD_1700023
PLANT08,PROD_1700024
PLANT14,PROD_1700025
PLANT16,PROD_1700025
PLANT07,PROD_1700026
PLANT13,PROD_1700026
PLANT02,PROD_1700026
PLANT06,PROD_1700026
PLANT01,PROD_1700027
PLANT13,PROD_1700027
PLANT09,PROD_1700027
PLANT15,PROD_1700027
PLANT14,PROD_1700028
PLANT18,PROD_1700028
PLANT16,PROD_1700028
PLANT07,PROD_1700029
PLANT10,PROD_1700029
PLANT02,PROD_1700030
PLANT19,PROD_1700030
PLANT11,PROD_1700031
PLANT02,PROD_1700032
PLANT17,PROD_1700033
PLANT20,PROD_1700033
PLANT06,PROD_1700033
PLANT02,PROD_1700033
PLANT06,PROD_1700034
PLANT20,PROD_1700035
PLANT08,PROD_1700036
PLANT04,PROD_1700037
PLANT19,PROD_1700037
PLANT08,PROD_1700037
PLANT02,PROD_1700037
PLANT14,PROD_1700038
PLANT09,PROD_1700039
PLANT07,PROD_1700039
PLANT11,PROD_1700039
PLANT09,PROD_1700040
PLANT13,PROD_1700040
PLANT10,PROD_1700041
PLANT15,PROD_1700041
PLANT03,PROD_1700042
PLANT01,PROD_1700042
PLANT15,PROD_1700042
PLANT03,PROD_1700043
PLANT17,PROD_1700044
PLANT09,PROD_1700044
PLANT12,PROD_1700045
PLANT03,PROD_1700045
PLANT12,PROD_1700046
PLANT10,PROD_1700046
PLANT15,PROD_1700047
PLANT18,PROD_1700047
PLANT20,PROD_1700048
PLANT17,PROD_1700048
PLANT01,PROD_1700048
PLANT04,PROD_1700049
PLANT05,PROD_1700049
PLANT09,PROD_1700049
PLANT04,PROD_1700050
PLANT09,PROD_1700051
PLANT10,PROD_1700051
PLANT11,PROD_1700052
PLANT07,PROD_1700052
PLANT17,PROD_1700053
PLANT16,PROD_1700053
PLANT09,PROD_1700053
PLANT03,PROD_1700054
PLANT09,PROD_1700055
PLANT02,PROD_1700055
PLANT01,PROD_1700055
PLANT11,PROD_1700055
PLANT09,PROD_1700056
PLANT06,PROD_1700056
PLANT18,PROD_1700057
PLANT14,PROD_1700057
PLANT20,PROD_1700057
PLANT01,PROD_1700057
PLANT03,PROD_1700058
PLANT18,PROD_1700059
PLANT02,PROD_1700059
PLANT19,PROD_1700060
PLANT18,PROD_1700060
PLANT05,PROD_1700060
PLANT05,PROD_1700061
PLANT02,PROD_1700061
PLANT10,PROD_1700061
PLANT12,PROD_1700061
PLANT12,PROD_1700062
PLANT08,PROD_1700063
PLANT04,PROD_1700063
PLANT18,PROD_1700064
PLANT14,PROD_1700064
PLANT05,PROD_1700064
PLANT06,PROD_1700065
PLANT20,PROD_1700065
PLANT01,PROD_1700066
PLANT06,PROD_1700066
PLANT11,PROD_1700066
PLANT14,PROD_1700066
PLANT09,PROD_1700067
PLANT06,PROD_1700067
PLANT13,PROD_1700068
PLANT16,PROD_1700069
PLANT07,PROD_1700070
PLANT15,PROD_1700070
PLANT10,PROD_1700071
PLANT08,PROD_1700071
PLANT19,PROD_1700071
PLANT07,PROD_1700072
PLANT11,PROD_1700073
PLANT09,PROD_1700073
PLANT03,PROD_1700073
PLANT19,PROD_1700073
PLANT17,PROD_1700074
PLANT13,PROD_1700074
PLANT18,PROD_1700074
PLANT01,PROD_1700075
PLANT04,PROD_1700075
PLANT09,PROD_1700075
PLANT19,PROD_1700076
PLANT09,PROD_1700076
PLANT04,PROD_1700077
PLANT12,PROD_1700078
PLANT11,PROD_1700078
PLANT14,PROD_1700078
PLANT17,PROD_1700078
PLANT13,PROD_1700079
PLANT09,PROD_1700080
PLANT02,PROD_1700080
PLANT01,PROD_1700081
PLANT17,PROD_1700081
PLANT18,PROD_1700081
PLANT07,PROD_1700081
PLANT14,PROD_1700082
PLANT03,PROD_1700082
PLANT11,PROD_1700082
PLANT04,PROD_1700083
PLANT10,PROD_1700083
PLANT17,PROD_1700083
PLANT14,PROD_1700084
PLANT11,PROD_1700084
PLANT13,PROD_1700084
PLANT18,PROD_1700085
PLANT05,PROD_1700085
PLANT07,PROD_1700085
PLANT13,PROD_1700086
PLANT06,PROD_1700086
PLANT10,PROD_1700086
PLANT20,PROD_1700086
PLANT10,PROD_1700087
PLANT07,PROD_1700088
PLANT14,PROD_1700088
PLANT11,PROD_1700088
PLANT15,PROD_1700089
PLANT20,PROD_1700089
PLANT07,PROD_1700089
PLANT17,PROD_1700089
PLANT06,PROD_1700090
PLANT03,PROD_1700090
PLANT10,PROD_1700090
PLANT17,PROD_1700090
PLANT03,PROD_1700091
PLANT08,PROD_1700091
PLANT10,PROD_1700091
PLANT07,PROD_1700092
PLANT05,PROD_1700092
PLANT02,PROD_1700093
PLANT16,PROD_1700094
PLANT03,PROD_1700094
PLANT14,PROD_1700095
PLANT19,PROD_1700095
PLANT07,PROD_1700095
PLANT13,PROD_1700095
PLANT13,PROD_1700096
PLANT08,PROD_1700096
PLANT05,PROD_1700096
PLANT01,PROD_1700096
PLANT14,PROD_1700097
PLANT06,PROD_1700098
PLANT17,PROD_1700098
PLANT02,PROD_1700099
PLANT18,PROD_1700099
PLANT08,PROD_1700099
PLANT04,PROD_1700099
PLANT05,PROD_1700100
PLANT15,PROD_1700100
PLANT17,PROD_1700100
PLANT11,PROD_1700100
PLANT20,PROD_1700101
PLANT17,PROD_1700101
PLANT14,PROD_1700101
PLANT15,PROD_1700101
PLANT16,PROD_1700102
PLANT15,PROD_1700102
PLANT08,PROD_1700103
PLANT09,PROD_1700103
PLANT17,PROD_1700103
PLANT08,PROD_1700104
PLANT09,PROD_1700104
PLANT15,PROD_1700104
PLANT03,PROD_1700104
PLANT08,PROD_1700105
PLANT09,PROD_1700105
PLANT11,PROD_1700105
PLANT18,PROD_1700106
PLANT03,PROD_1700106
PLANT05,PROD_1700106
PLANT08,PROD_1700107
PLANT13,PROD_1700107
PLANT07,PROD_1700108
PLANT03,PROD_1700108
PLANT14,PROD_1700109
PLANT11,PROD_1700109
PLANT18,PROD_1700109
PLANT15,PROD_1700109
PLANT02,PROD_1700110
PLANT07,PROD_1700110
PLANT14,PROD_1700110
PLANT13,PROD_1700110
PLANT19,PROD_1700111
PLANT16,PROD_1700112
PLANT01,PROD_1700112
PLANT12,PROD_1700112
PLANT10,PROD_1700112
PLANT14,PROD_1700113
PLANT18,PROD_1700113
PLANT19,PROD_1700113
PLANT08,PROD_1700113
PLANT08,PROD_1700114
PLANT09,PROD_1700114
PLANT14,PROD_1700114
PLANT16,PROD_1700114
