plant_code,aisle_number,zone,aisle_length_m,shelf_height_m,capacity_units,pick_frequency,distance_from_dock_m
PLANT01,1,Zone-A,34.8,2.8,968,MEDIUM,54.9
PLANT01,2,Zone-C,48.3,5.2,645,HIGH,170.4
PLANT01,3,Zone-A,11.8,4.6,510,HIGH,148.0
PLANT01,4,Zone-E,11.2,7.1,702,MEDIUM,165.9
PLANT01,5,Zone-D,58.9,6.9,1870,LOW,87.6
PLANT01,6,Zone-B,15.6,5.4,1182,LOW,118.4
PLANT01,7,Zone-B,39.7,3.4,264,MEDIUM,171.0
PLANT01,8,Zone-E,55.2,3.0,1038,MEDIUM,86.8
PLANT01,9,Zone-B,44.7,5.5,1258,HIGH,40.2
PLANT01,10,Zone-A,51.1,6.5,1338,HIGH,75.9
PLANT01,11,Zone-A,40.6,6.6,368,MEDIUM,28.3
PLANT01,12,Zone-B,36.1,5.6,1946,LOW,20.7
PLANT01,13,Zone-D,45.1,5.3,1691,LOW,12.0
PLANT01,14,Zone-E,58.2,8.0,1332,MEDIUM,67.6
PLANT01,15,Zone-A,14.9,3.9,475,HIGH,94.1
PLANT01,16,Zone-B,22.4,3.4,1763,HIGH,131.3
PLANT01,17,Zone-E,11.7,4.1,326,MEDIUM,138.9
PLANT01,18,Zone-E,24.4,3.1,1171,HIGH,58.8
PLANT01,19,Zone-B,30.2,5.0,639,HIGH,162.8
PLANT01,20,Zone-A,13.2,6.2,891,LOW,54.4
PLANT01,21,Zone-E,51.2,3.0,646,HIGH,194.6
PLANT01,22,Zone-D,21.9,4.4,1403,HIGH,157.6
PLANT01,23,Zone-C,36.6,4.3,1313,MEDIUM,135.4
PLANT01,24,Zone-A,25.3,2.5,1504,MEDIUM,92.8
PLANT01,25,Zone-C,52.5,5.7,621,LOW,76.2
PLANT01,26,Zone-A,22.4,6.2,593,LOW,15.5
PLANT02,1,Zone-E,36.5,6.5,804,HIGH,41.5
PLANT02,2,Zone-E,57.4,5.6,1402,MEDIUM,101.2
PLANT02,3,Zone-D,13.3,6.9,237,MEDIUM,126.3
PLANT02,4,Zone-C,39.2,7.8,504,MEDIUM,22.7
PLANT02,5,Zone-B,13.5,7.9,241,LOW,30.0
PLANT02,6,Zone-B,54.8,3.5,356,MEDIUM,77.8
PLANT03,1,Zone-D,15.1,6.2,1373,HIGH,40.8
PLANT03,2,Zone-D,46.1,3.0,227,MEDIUM,147.2
PLANT03,3,Zone-B,32.5,5.4,266,HIGH,54.6
PLANT03,4,Zone-E,23.9,6.9,1021,HIGH,113.0
PLANT03,5,Zone-A,13.1,7.7,1878,LOW,132.2
PLANT03,6,Zone-A,37.6,4.3,1963,HIGH,104.3
PLANT03,7,Zone-D,13.9,2.6,1343,MEDIUM,112.7
PLANT03,8,Zone-D,27.4,3.5,1224,HIGH,52.2
PLANT03,9,Zone-A,31.8,3.0,1026,LOW,121.5
PLANT03,10,Zone-E,29.4,7.9,1909,HIGH,149.4
PLANT03,11,Zone-C,42.9,6.6,1835,LOW,53.6
