order_id,product_id,plant_code,date,demand,inventory_level,warehouse_location,aisle_number,picking_time_min,reorder_point,lead_time_days,unit_price,category,day_of_week,month,quarter,is_weekend,week_of_year,freight_cost_usd,service_level,carrier,rolling_avg_7d,rolling_avg_30d,demand_lag_1,demand_lag_7,demand_lag_30,stockout_risk
ORD1524854,PROD_1700110,PLANT07,2023-01-01,17,584,Zone-E,10,14.43,64,3,750.24,Textiles,6,1,1,1,52,2.07,EXW,V014_CARRIER,17.0,17.0,0.0,0.0,0.0,0
ORD1524855,PROD_1700110,PLANT07,2023-01-02,12,593,Zone-E,10,16.78,64,3,750.24,Textiles,0,1,1,0,1,0.56,DTP,V007_CARRIER,14.5,14.5,17.0,0.0,0.0,0
ORD1524856,PROD_1700110,PLANT07,2023-01-03,15,592,Zone-E,10,20.85,64,3,750.24,Textiles,1,1,1,0,1,1.0,EXW,V003_CARRIER,14.67,14.67,12.0,0.0,0.0,0
ORD1524857,PROD_1700110,PLANT07,2023-01-04,13,597,Zone-E,10,16.24,64,3,750.24,Textiles,2,1,1,0,1,1.04,DTP,V005_CARRIER,14.25,14.25,15.0,0.0,0.0,0
ORD1524858,PROD_1700110,PLANT07,2023-01-05,18,600,Zone-E,10,17.27,64,3,750.24,Textiles,3,1,1,0,1,0.28,CRF,V006_CARRIER,15.0,15.0,13.0,0.0,0.0,0
ORD1524859,PROD_1700110,PLANT07,2023-01-06,19,607,Zone-E,10,21.49,64,3,750.24,Textiles,4,1,1,0,1,2.16,DTP,V004_CARRIER,15.67,15.67,18.0,0.0,0.0,0
ORD1524860,PROD_1700110,PLANT07,2023-01-07,8,626,Zone-E,10,15.75,64,3,750.24,Textiles,5,1,1,1,1,0.06,EXW,V001_CARRIER,14.57,14.57,19.0,0.0,0.0,0
ORD1524861,PROD_1700110,PLANT07,2023-01-08,17,645,Zone-E,10,16.95,64,3,750.24,Textiles,6,1,1,1,1,0.46,DTD,V007_CARRIER,14.57,14.88,8.0,17.0,0.0,0
ORD1524862,PROD_1700110,PLANT07,2023-01-09,3,655,Zone-E,10,16.68,64,3,750.24,Textiles,0,1,1,0,2,0.25,DTP,V001_CARRIER,13.29,13.56,17.0,12.0,0.0,0
ORD1524863,PROD_1700110,PLANT07,2023-01-10,14,654,Zone-E,10,14.15,64,3,750.24,Textiles,1,1,1,0,2,1.65,CRF,V010_CARRIER,13.14,13.6,3.0,15.0,0.0,0
ORD1524864,PROD_1700110,PLANT07,2023-01-11,18,642,Zone-E,10,12.44,64,3,750.24,Textiles,2,1,1,0,2,0.66,EXW,V005_CARRIER,13.86,14.0,14.0,13.0,0.0,0
ORD1524865,PROD_1700110,PLANT07,2023-01-12,6,675,Zone-E,10,11.47,64,3,750.24,Textiles,3,1,1,0,2,0.39,DTD,V010_CARRIER,12.14,13.33,18.0,18.0,0.0,0
ORD1524866,PROD_1700110,PLANT07,2023-01-13,12,693,Zone-E,10,19.47,64,3,750.24,Textiles,4,1,1,0,2,0.16,DTD,V007_CARRIER,11.14,13.23,6.0,19.0,0.0,0
ORD1524867,PROD_1700110,PLANT07,2023-01-14,17,684,Zone-E,10,11.25,64,3,750.24,Textiles,5,1,1,1,2,0.66,DTD,V007_CARRIER,12.43,13.5,12.0,8.0,0.0,0
ORD1524868,PROD_1700110,PLANT07,2023-01-15,18,703,Zone-E,10,17.88,64,3,750.24,Textiles,6,1,1,1,2,1.41,EXW,V001_CARRIER,12.57,13.8,17.0,17.0,0.0,0
ORD1524869,PROD_1700110,PLANT07,2023-01-16,13,690,Zone-E,10,10.94,64,3,750.24,Textiles,0,1,1,0,3,1.77,DTD,V009_CARRIER,14.0,13.75,18.0,3.0,0.0,0
ORD1524870,PROD_1700110,PLANT07,2023-01-17,8,703,Zone-E,10,11.03,64,3,750.24,Textiles,1,1,1,0,3,0.61,DTP,V001_CARRIER,13.14,13.41,13.0,14.0,0.0,0
ORD1524871,PROD_1700110,PLANT07,2023-01-18,15,693,Zone-E,10,15.54,64,3,750.24,Textiles,2,1,1,0,3,0.79,EXW,V003_CARRIER,12.71,13.5,8.0,18.0,0.0,0
ORD1524872,PROD_1700110,PLANT07,2023-01-19,6,712,Zone-E,10,16.61,64,3,750.24,Textiles,3,1,1,0,3,0.44,DTD,V014_CARRIER,12.71,13.11,15.0,6.0,0.0,0
ORD1524873,PROD_1700110,PLANT07,2023-01-20,14,734,Zone-E,10,14.77,64,3,750.24,Textiles,4,1,1,0,3,1.0,CRF,V002_CARRIER,13.0,13.15,6.0,12.0,0.0,0
ORD1524874,PROD_1700110,PLANT07,2023-01-21,15,724,Zone-E,10,15.19,64,3,750.24,Textiles,5,1,1,1,3,1.68,CRF,V010_CARRIER,12.71,13.24,14.0,17.0,0.0,0
ORD1524875,PROD_1700110,PLANT07,2023-01-22,17,715,Zone-E,10,20.61,64,3,750.24,Textiles,6,1,1,1,3,1.54,DTD,V014_CARRIER,12.57,13.41,15.0,18.0,0.0,0
ORD1524876,PROD_1700110,PLANT07,2023-01-23,13,706,Zone-E,10,19.04,64,3,750.24,Textiles,0,1,1,0,4,0.75,EXW,V014_CARRIER,12.57,13.39,17.0,13.0,0.0,0
ORD1524877,PROD_1700110,PLANT07,2023-01-24,8,720,Zone-E,10,19.02,64,3,750.24,Textiles,1,1,1,0,4,0.42,DTP,V012_CARRIER,12.57,13.17,13.0,8.0,0.0,0
ORD1524878,PROD_1700110,PLANT07,2023-01-25,15,708,Zone-E,10,19.26,64,3,750.24,Textiles,2,1,1,0,4,1.03,DTD,V004_CARRIER,12.57,13.24,8.0,15.0,0.0,0
ORD1524879,PROD_1700110,PLANT07,2023-01-26,23,689,Zone-E,10,13.78,64,3,750.24,Textiles,3,1,1,0,4,0.85,EXW,V006_CARRIER,15.0,13.62,15.0,6.0,0.0,0
ORD1524880,PROD_1700110,PLANT07,2023-01-27,25,667,Zone-E,10,18.68,64,3,750.24,Textiles,4,1,1,0,4,3.04,DTP,V006_CARRIER,16.57,14.04,23.0,14.0,0.0,0
ORD1524881,PROD_1700110,PLANT07,2023-01-28,37,656,Zone-E,10,19.25,64,3,750.24,Textiles,5,1,1,1,4,1.85,CRF,V008_CARRIER,19.71,14.86,25.0,15.0,0.0,0
