Plant_ID,Daily_Capacity,Max_SKUs,Num_Aisles,Num_Zones,Sq_Footage
PLANT01,1148,162,26,4,12331
PLANT02,477,470,6,4,57581
PLANT03,556,83,11,6,46245
PLANT04,443,385,20,5,65142
PLANT05,300,185,9,3,78579
PLANT06,1111,184,28,6,61155
PLANT07,825,235,12,3,71784
PLANT08,1018,96,29,2,19371
PLANT09,321,371,10,5,13326
PLANT10,796,245,24,5,74352
PLANT11,522,333,5,2,75381
PLANT12,554,443,25,4,19621
PLANT13,609,272,10,5,5425
PLANT14,547,306,29,3,71542
PLANT15,225,495,25,4,71540
PLANT16,415,128,16,3,75697
PLANT17,1094,50,24,4,69042
PLANT18,47,107,16,4,36385
PLANT19,126,173,23,2,16226
PLANT20,1003,467,7,6,21483
