order_id,product_id,date,demand,inventory_level,warehouse_location,aisle_number,picking_time,reorder_point,lead_time_days,unit_price,category,day_of_week,month,is_weekend,rolling_avg_7d,quarter,week_of_year,rolling_avg_30d,demand_lag_1,demand_lag_7,stockout_risk
ORD1000,P001,2023-01-01,89,152,Zone-E,15,6.76,132,7,367.34,Tools,6,1,1,89.0,1,52,89.0,0.0,0.0,0
ORD1001,P001,2023-01-02,74,101,Zone-E,15,17.24,132,7,367.34,Tools,0,1,0,81.5,1,1,81.5,89.0,0.0,1
ORD1002,P001,2023-01-03,67,54,Zone-E,15,14.34,132,7,367.34,Tools,1,1,0,76.67,1,1,76.67,74.0,0.0,1
ORD1003,P001,2023-01-04,68,11,Zone-E,15,13.08,132,7,367.34,Tools,2,1,0,74.5,1,1,74.5,67.0,0.0,1
ORD1004,P001,2023-01-05,62,0,Zone-E,15,11.4,132,7,367.34,Tools,3,1,0,72.0,1,1,72.0,68.0,0.0,1
ORD1005,P001,2023-01-06,68,0,Zone-E,15,19.15,132,7,367.34,Tools,4,1,0,71.33,1,1,71.33,62.0,0.0,1
ORD1006,P001,2023-01-07,80,0,Zone-E,15,8.7,132,7,367.34,Tools,5,1,1,72.57,1,1,72.57,68.0,0.0,1
ORD1007,P001,2023-01-08,80,0,Zone-E,15,19.27,132,7,367.34,Tools,6,1,1,71.29,1,1,73.5,80.0,89.0,1
ORD1008,P001,2023-01-09,77,0,Zone-E,15,8.3,132,7,367.34,Tools,0,1,0,71.71,1,2,73.89,80.0,74.0,1
ORD1009,P001,2023-01-10,71,0,Zone-E,15,6.18,132,7,367.34,Tools,1,1,0,72.29,1,2,73.6,77.0,67.0,1
ORD1010,P001,2023-01-11,72,0,Zone-E,15,10.11,132,7,367.34,Tools,2,1,0,72.86,1,2,73.45,71.0,68.0,1
ORD1011,P001,2023-01-12,75,0,Zone-E,15,9.12,132,7,367.34,Tools,3,1,0,74.71,1,2,73.58,72.0,62.0,1
ORD1012,P001,2023-01-13,76,0,Zone-E,15,12.68,132,7,367.34,Tools,4,1,0,75.86,1,2,73.77,75.0,68.0,1
ORD1013,P001,2023-01-14,77,0,Zone-E,15,8.34,132,7,367.34,Tools,5,1,1,75.43,1,2,74.0,76.0,80.0,1
ORD1014,P001,2023-01-15,75,0,Zone-E,15,10.21,132,7,367.34,Tools,6,1,1,74.71,1,2,74.07,77.0,80.0,1
ORD1015,P001,2023-01-16,70,0,Zone-E,15,8.81,132,7,367.34,Tools,0,1,0,73.71,1,3,73.81,75.0,77.0,1
